STATION,NAME,DATE,TMAX,TMIN
USC00190998,"BUFFUMVILLE LAKE, MA US",2/7/1960,46,34
USC00190998,"BUFFUMVILLE LAKE, MA US",2/8/1960,40,15
USC00190998,"BUFFUMVILLE LAKE, MA US",2/9/1960,33,19
USC00190998,"BUFFUMVILLE LAKE, MA US",2/10/1960,46,27
USC00190998,"BUFFUMVILLE LAKE, MA US",2/11/1960,54,34
USC00190998,"BUFFUMVILLE LAKE, MA US",2/12/1960,56,32
USC00190998,"BUFFUMVILLE LAKE, MA US",2/13/1960,35,14
USC00190998,"BUFFUMVILLE LAKE, MA US",2/14/1960,33,18
USC00190998,"BUFFUMVILLE LAKE, MA US",2/15/1960,39,16
USC00190998,"BUFFUMVILLE LAKE, MA US",2/16/1960,31,16
USC00190998,"BUFFUMVILLE LAKE, MA US",2/17/1960,39,18
USC00190998,"BUFFUMVILLE LAKE, MA US",2/18/1960,44,20
USC00190998,"BUFFUMVILLE LAKE, MA US",2/19/1960,49,28
USC00190998,"BUFFUMVILLE LAKE, MA US",2/20/1960,38,29
USC00190998,"BUFFUMVILLE LAKE, MA US",2/21/1960,38,25
USC00190998,"BUFFUMVILLE LAKE, MA US",2/22/1960,39,21
USC00190998,"BUFFUMVILLE LAKE, MA US",2/23/1960,41,19
USC00190998,"BUFFUMVILLE LAKE, MA US",2/24/1960,36,21
USC00190998,"BUFFUMVILLE LAKE, MA US",2/25/1960,36,15
USC00190998,"BUFFUMVILLE LAKE, MA US",2/26/1960,37,25
USC00190998,"BUFFUMVILLE LAKE, MA US",2/27/1960,39,28
USC00190998,"BUFFUMVILLE LAKE, MA US",2/28/1960,38,25
USC00190998,"BUFFUMVILLE LAKE, MA US",2/29/1960,35,16
USC00190998,"BUFFUMVILLE LAKE, MA US",3/1/1960,34,14
USC00190998,"BUFFUMVILLE LAKE, MA US",3/2/1960,28,10
USC00190998,"BUFFUMVILLE LAKE, MA US",3/3/1960,29,14
USC00190998,"BUFFUMVILLE LAKE, MA US",3/4/1960,25,15
USC00190998,"BUFFUMVILLE LAKE, MA US",3/5/1960,29,23
USC00190998,"BUFFUMVILLE LAKE, MA US",3/6/1960,35,21
USC00190998,"BUFFUMVILLE LAKE, MA US",3/7/1960,34,15
USC00190998,"BUFFUMVILLE LAKE, MA US",3/8/1960,35,19
USC00190998,"BUFFUMVILLE LAKE, MA US",3/9/1960,31,14
USC00190998,"BUFFUMVILLE LAKE, MA US",3/10/1960,31,5
USC00190998,"BUFFUMVILLE LAKE, MA US",3/11/1960,32,0
USC00190998,"BUFFUMVILLE LAKE, MA US",3/12/1960,28,10
USC00190998,"BUFFUMVILLE LAKE, MA US",3/13/1960,41,25
USC00190998,"BUFFUMVILLE LAKE, MA US",3/14/1960,40,29
USC00190998,"BUFFUMVILLE LAKE, MA US",3/15/1960,38,19
USC00190998,"BUFFUMVILLE LAKE, MA US",3/16/1960,38,8
USC00190998,"BUFFUMVILLE LAKE, MA US",3/17/1960,43,27
USC00190998,"BUFFUMVILLE LAKE, MA US",3/18/1960,37,25
USC00190998,"BUFFUMVILLE LAKE, MA US",3/19/1960,47,31
USC00190998,"BUFFUMVILLE LAKE, MA US",3/20/1960,40,16
USC00190998,"BUFFUMVILLE LAKE, MA US",3/21/1960,42,22
USC00190998,"BUFFUMVILLE LAKE, MA US",3/22/1960,38,12
USC00190998,"BUFFUMVILLE LAKE, MA US",3/23/1960,32,16
USC00190998,"BUFFUMVILLE LAKE, MA US",3/24/1960,35,15
USC00190998,"BUFFUMVILLE LAKE, MA US",3/25/1960,45,23
USC00190998,"BUFFUMVILLE LAKE, MA US",3/26/1960,27,-1
USC00190998,"BUFFUMVILLE LAKE, MA US",3/27/1960,34,15
USC00190998,"BUFFUMVILLE LAKE, MA US",3/28/1960,47,34
USC00190998,"BUFFUMVILLE LAKE, MA US",3/29/1960,59,25
USC00190998,"BUFFUMVILLE LAKE, MA US",3/30/1960,53,33
USC00190998,"BUFFUMVILLE LAKE, MA US",3/31/1960,55,39
USC00190998,"BUFFUMVILLE LAKE, MA US",4/1/1960,56,45
USC00190998,"BUFFUMVILLE LAKE, MA US",4/2/1960,53,35
USC00190998,"BUFFUMVILLE LAKE, MA US",4/3/1960,50,30
USC00190998,"BUFFUMVILLE LAKE, MA US",4/4/1960,57,34
USC00190998,"BUFFUMVILLE LAKE, MA US",4/5/1960,68,45
USC00190998,"BUFFUMVILLE LAKE, MA US",4/6/1960,45,31
USC00190998,"BUFFUMVILLE LAKE, MA US",4/7/1960,40,22
USC00190998,"BUFFUMVILLE LAKE, MA US",4/8/1960,49,23
USC00190998,"BUFFUMVILLE LAKE, MA US",4/9/1960,44,31
USC00190998,"BUFFUMVILLE LAKE, MA US",4/10/1960,48,27
USC00190998,"BUFFUMVILLE LAKE, MA US",4/11/1960,50,23
USC00190998,"BUFFUMVILLE LAKE, MA US",4/12/1960,51,34
USC00190998,"BUFFUMVILLE LAKE, MA US",4/13/1960,63,38
USC00190998,"BUFFUMVILLE LAKE, MA US",4/14/1960,60,34
USC00190998,"BUFFUMVILLE LAKE, MA US",4/15/1960,74,43
USC00190998,"BUFFUMVILLE LAKE, MA US",4/16/1960,76,45
USC00190998,"BUFFUMVILLE LAKE, MA US",4/17/1960,55,37
USC00190998,"BUFFUMVILLE LAKE, MA US",4/18/1960,74,39
USC00190998,"BUFFUMVILLE LAKE, MA US",4/19/1960,64,33
USC00190998,"BUFFUMVILLE LAKE, MA US",4/20/1960,54,25
USC00190998,"BUFFUMVILLE LAKE, MA US",4/21/1960,62,42
USC00190998,"BUFFUMVILLE LAKE, MA US",4/22/1960,71,46
USC00190998,"BUFFUMVILLE LAKE, MA US",4/23/1960,76,39
USC00190998,"BUFFUMVILLE LAKE, MA US",4/24/1960,50,40
USC00190998,"BUFFUMVILLE LAKE, MA US",4/25/1960,55,43
USC00190998,"BUFFUMVILLE LAKE, MA US",4/26/1960,71,44
USC00190998,"BUFFUMVILLE LAKE, MA US",4/27/1960,69,49
USC00190998,"BUFFUMVILLE LAKE, MA US",4/28/1960,55,37
USC00190998,"BUFFUMVILLE LAKE, MA US",4/29/1960,63,40
USC00190998,"BUFFUMVILLE LAKE, MA US",4/30/1960,67,33
USC00190998,"BUFFUMVILLE LAKE, MA US",5/1/1960,69,44
USC00190998,"BUFFUMVILLE LAKE, MA US",5/2/1960,48,36
USC00190998,"BUFFUMVILLE LAKE, MA US",5/3/1960,68,31
USC00190998,"BUFFUMVILLE LAKE, MA US",5/4/1960,74,36
USC00190998,"BUFFUMVILLE LAKE, MA US",5/5/1960,78,38
USC00190998,"BUFFUMVILLE LAKE, MA US",5/6/1960,79,40
USC00190998,"BUFFUMVILLE LAKE, MA US",5/7/1960,81,38
USC00190998,"BUFFUMVILLE LAKE, MA US",5/8/1960,75,51
USC00190998,"BUFFUMVILLE LAKE, MA US",5/9/1960,67,49
